ENTREZID,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,interest
12992,Csn1s2b,casein alpha s2-like B,-8.603611115,3.562950041,-43.79649807,3.83E-15,6.05E-11,interest
13358,Slc25a1,"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1",-4.124175321,5.779698944,-29.90784928,1.76E-13,1.39E-09,
11941,Atp2b2,"ATPase, Ca++ transporting, plasma membrane 2",-7.386986387,1.282143147,-27.81949917,4.84E-13,2.43E-09,
20531,Slc34a2,"solute carrier family 34 (sodium phosphate), member 2",-4.177812421,4.278629035,-27.07272306,6.16E-13,2.43E-09,
100705,Acacb,acetyl-Coenzyme A carboxylase beta,-4.31431995,4.440913706,-25.22356577,1.50E-12,4.74E-09,
13645,Egf,epidermal growth factor,-5.36266382,0.735904653,-24.5993026,2.12E-12,5.57E-09,
230810,Slc30a2,"solute carrier family 30 (zinc transporter), member 2",-3.203118136,2.695811476,-23.80427759,3.02E-12,6.83E-09,
68801,Elovl5,"ELOVL family member 5, elongation of long chain fatty acids (yeast)",-2.863304037,6.455204531,-22.35357516,6.60E-12,1.30E-08,
19659,Rbp1,"retinol binding protein 1, cellular",5.443044022,6.107033182,21.05235767,1.48E-11,2.36E-08,interest
26366,Ceacam10,carcinoembryonic antigen-related cell adhesion molecule 10,-3.295621175,1.821014236,-20.93926887,1.50E-11,2.36E-08,
69219,Ddah1,dimethylarginine dimethylaminohydrolase 1,-6.264982837,1.176669342,-20.86710541,1.70E-11,2.44E-08,
12683,Cidea,"cell death-inducing DNA fragmentation factor, alpha subunit-like effector A",-4.840654688,3.374957469,-23.34753434,2.76E-11,3.63E-08,
68603,Pmvk,phosphomevalonate kinase,-2.676983329,4.723106836,-19.59664552,3.38E-11,3.99E-08,
20440,St6gal1,"beta galactoside alpha 2,6 sialyltransferase 1",-2.847275729,5.915977242,-19.5286765,3.53E-11,3.99E-08,
19041,Ppl,periplakin,3.609830768,6.387028266,19.37314071,3.94E-11,3.99E-08,
170439,Elovl6,"ELOVL family member 6, elongation of long chain fatty acids (yeast)",-3.181536395,5.032603635,-19.32177545,4.04E-11,3.99E-08,
14598,Ggt1,gamma-glutamyltransferase 1,-3.018191776,6.095753925,-18.85091684,5.47E-11,5.09E-08,interest
67547,Slc39a8,"solute carrier family 39 (metal ion transporter), member 8",-6.575426262,3.405710347,-18.53670566,7.43E-11,6.52E-08,
72027,Slc39a4,"solute carrier family 39 (zinc transporter), member 4",4.362021461,2.74878976,18.28949165,8.17E-11,6.79E-08,interest
20249,Scd1,stearoyl-Coenzyme A desaturase 1,-3.296577195,9.110953823,-18.08614355,9.16E-11,7.23E-08,
12705,Cited1,Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1,-3.532553898,3.323695666,-17.98327157,9.86E-11,7.42E-08,
52150,Kcnk6,"potassium inwardly-rectifying channel, subfamily K, member 6",-2.417542566,3.22306912,-17.73404651,1.15E-10,8.29E-08,
224022,Slc7a4,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 4",-2.679335114,2.89934073,-17.56794274,1.30E-10,8.92E-08,
74413,Tc2n,"tandem C2 domains, nuclear",-3.309637634,2.49144505,-17.51586733,1.36E-10,8.94E-08,
56072,Lgals12,"lectin, galactose binding, soluble 12",-2.366703314,3.013340543,-17.34804057,1.51E-10,9.21E-08,
11416,Slc33a1,"solute carrier family 33 (acetyl-CoA transporter), member 1",-2.603701084,4.257327131,-17.34761964,1.52E-10,9.21E-08,
13032,Ctsc,cathepsin C,-3.417329313,5.244059339,-17.62718004,1.67E-10,9.78E-08,
19224,Ptgs1,prostaglandin-endoperoxide synthase 1,-4.158271082,3.570307284,-17.80651156,1.93E-10,1.07E-07,
64291,Osbpl1a,oxysterol binding protein-like 1A,-2.546556436,5.53235616,-16.98254296,1.97E-10,1.07E-07,
27224,Eloa,elongin A,-2.035527766,6.692410383,-16.68068582,2.44E-10,1.29E-07,interest
76113,Lpo,lactoperoxidase,-3.491488781,2.217642501,-16.67174638,2.94E-10,1.44E-07,
217294,BC006965,cDNA sequence BC006965,3.728493323,4.187267913,16.43747494,2.98E-10,1.44E-07,
30935,Tor3a,"torsin family 3, member A",-3.536744475,4.634786675,-16.3944986,3.07E-10,1.44E-07,
60525,Acss2,acyl-CoA synthetase short-chain family member 2,-2.548434768,4.114903017,-16.32473548,3.19E-10,1.44E-07,
110460,Acat2,acetyl-Coenzyme A acetyltransferase 2,-2.492645889,4.434876643,-16.32016904,3.20E-10,1.44E-07,
13631,Eef2k,eukaryotic elongation factor-2 kinase,-1.902967441,5.918326653,-16.16713378,3.58E-10,1.57E-07,
70358,Steap1,six transmembrane epithelial antigen of the prostate 1,-3.907074899,1.150414786,-15.82087367,4.77E-10,2.03E-07,
213006,Mfsd4a,major facilitator superfamily domain containing 4A,-2.556355525,3.93549441,-15.72947137,5.01E-10,2.03E-07,
14618,Gjb1,"gap junction protein, beta 1",-6.004443598,-1.266803971,-15.83855688,5.02E-10,2.03E-07,
66120,Fkbp11,FK506 binding protein 11,-2.262584469,4.95609096,-15.69289684,5.15E-10,2.03E-07,
231070,Insig1,insulin induced gene 1,-4.13647897,5.365529349,-17.92379198,5.46E-10,2.10E-07,
72685,Dnajc6,DnaJ heat shock protein family (Hsp40) member C6,-2.821655375,1.618945604,-15.5745669,5.67E-10,2.13E-07,
17341,Bhlha15,"basic helix-loop-helix family, member a15",-2.882006104,1.745283656,-15.46663201,6.17E-10,2.24E-07,interest
11886,Asah1,N-acylsphingosine amidohydrolase 1,-2.467702693,6.030071206,-15.44788467,6.24E-10,2.24E-07,
224530,Acat3,acetyl-Coenzyme A acetyltransferase 3,-2.578858971,3.67428481,-15.40892483,6.44E-10,2.26E-07,
67041,Oxct1,3-oxoacid CoA transferase 1,-2.451785922,6.953921013,-15.3675477,6.65E-10,2.28E-07,
26897,Acot1,acyl-CoA thioesterase 1,3.51555235,5.667461569,16.40428181,6.99E-10,2.35E-07,
83492,Gsdmc,gasdermin C,-4.884692191,-1.126153728,-15.25090663,7.66E-10,2.52E-07,
66885,Acadsb,"acyl-Coenzyme A dehydrogenase, short/branched chain",-1.88881149,6.168780933,-15.10264014,8.19E-10,2.62E-07,
18405,Orm1,orosomucoid 1,-4.492013807,0.297209535,-15.13982204,8.28E-10,2.62E-07,
16790,Anpep,alanyl (membrane) aminopeptidase,3.369670564,6.512516431,15.46292947,8.82E-10,2.73E-07,
108079,Prkaa2,"protein kinase, AMP-activated, alpha 2 catalytic subunit",-2.592023554,4.717776942,-14.94861732,9.30E-10,2.83E-07,
